HASYv2 Complete Symbol List
======================================================================

ID: 196  |  LaTeX: +                     |  Unicode: 
ID: 195  |  LaTeX: -                     |  Unicode: 
ID: 922  |  LaTeX: /                     |  Unicode: 
ID:  70  |  LaTeX: 0                     |  Unicode: 
ID:  71  |  LaTeX: 1                     |  Unicode: 
ID:  72  |  LaTeX: 2                     |  Unicode: 
ID:  73  |  LaTeX: 3                     |  Unicode: 
ID:  74  |  LaTeX: 4                     |  Unicode: 
ID:  75  |  LaTeX: 5                     |  Unicode: 
ID:  76  |  LaTeX: 6                     |  Unicode: 
ID:  77  |  LaTeX: 7                     |  Unicode: 
ID:  78  |  LaTeX: 8                     |  Unicode: 
ID:  79  |  LaTeX: 9                     |  Unicode: 
ID: 187  |  LaTeX: <                     |  Unicode: 
ID: 188  |  LaTeX: >                     |  Unicode: 
ID:  31  |  LaTeX: A                     |  Unicode: 
ID:  32  |  LaTeX: B                     |  Unicode: 
ID:  33  |  LaTeX: C                     |  Unicode: 
ID:  34  |  LaTeX: D                     |  Unicode: 
ID:  35  |  LaTeX: E                     |  Unicode: 
ID:  36  |  LaTeX: F                     |  Unicode: 
ID:  37  |  LaTeX: G                     |  Unicode: 
ID:  38  |  LaTeX: H                     |  Unicode: 
ID:  39  |  LaTeX: I                     |  Unicode: 
ID:  40  |  LaTeX: J                     |  Unicode: 
ID:  41  |  LaTeX: K                     |  Unicode: 
ID:  42  |  LaTeX: L                     |  Unicode: 
ID:  43  |  LaTeX: M                     |  Unicode: 
ID:  44  |  LaTeX: N                     |  Unicode: 
ID:  45  |  LaTeX: O                     |  Unicode: 
ID:  46  |  LaTeX: P                     |  Unicode: 
ID:  47  |  LaTeX: Q                     |  Unicode: 
ID:  48  |  LaTeX: R                     |  Unicode: 
ID:  49  |  LaTeX: S                     |  Unicode: 
ID:  50  |  LaTeX: T                     |  Unicode: 
ID:  51  |  LaTeX: U                     |  Unicode: 
ID:  52  |  LaTeX: V                     |  Unicode: 
ID:  53  |  LaTeX: W                     |  Unicode: 
ID:  54  |  LaTeX: X                     |  Unicode: 
ID:  55  |  LaTeX: Y                     |  Unicode: 
ID:  56  |  LaTeX: Z                     |  Unicode: 
ID: 918  |  LaTeX: [                     |  Unicode: 
ID: 266  |  LaTeX: \#                    |  Unicode: 
ID: 254  |  LaTeX: \$                    |  Unicode: 
ID: 267  |  LaTeX: \%                    |  Unicode: 
ID: 265  |  LaTeX: \&                    |  Unicode: 
ID: 1382  |  LaTeX: \AA                   |  Unicode: 
ID: 1396  |  LaTeX: \AE                   |  Unicode: 
ID: 1187  |  LaTeX: \Bowtie               |  Unicode: 
ID: 152  |  LaTeX: \Delta                |  Unicode: 
ID: 748  |  LaTeX: \Downarrow            |  Unicode: 
ID: 150  |  LaTeX: \Gamma                |  Unicode: 
ID: 892  |  LaTeX: \Im                   |  Unicode: 
ID: 1374  |  LaTeX: \L                    |  Unicode: 
ID: 163  |  LaTeX: \Lambda               |  Unicode: 
ID: 764  |  LaTeX: \Leftarrow            |  Unicode: 
ID: 767  |  LaTeX: \Leftrightarrow       |  Unicode: 
ID: 757  |  LaTeX: \Longleftrightarrow   |  Unicode: 
ID: 762  |  LaTeX: \Longrightarrow       |  Unicode: 
ID: 1385  |  LaTeX: \O                    |  Unicode: 
ID: 181  |  LaTeX: \Omega                |  Unicode: 
ID: 175  |  LaTeX: \Phi                  |  Unicode: 
ID: 168  |  LaTeX: \Pi                   |  Unicode: 
ID: 179  |  LaTeX: \Psi                  |  Unicode: 
ID: 894  |  LaTeX: \Re                   |  Unicode: 
ID: 753  |  LaTeX: \Rightarrow           |  Unicode: 
ID: 262  |  LaTeX: \S                    |  Unicode: 
ID: 116  |  LaTeX: \Sigma                |  Unicode: 
ID: 156  |  LaTeX: \Theta                |  Unicode: 
ID: 647  |  LaTeX: \Vdash                |  Unicode: 
ID: 167  |  LaTeX: \Xi                   |  Unicode: 
ID: 1371  |  LaTeX: \aa                   |  Unicode: 
ID: 1395  |  LaTeX: \ae                   |  Unicode: 
ID: 943  |  LaTeX: \aleph                |  Unicode: 
ID:  82  |  LaTeX: \alpha                |  Unicode: 
ID: 510  |  LaTeX: \amalg                |  Unicode: 
ID: 946  |  LaTeX: \angle                |  Unicode: 
ID: 601  |  LaTeX: \approx               |  Unicode: 
ID: 514  |  LaTeX: \ast                  |  Unicode: 
ID: 1115  |  LaTeX: \astrosun             |  Unicode: 
ID: 607  |  LaTeX: \asymp                |  Unicode: 
ID: 630  |  LaTeX: \backsim              |  Unicode: 
ID: 949  |  LaTeX: \backslash            |  Unicode: 
ID: 541  |  LaTeX: \barwedge             |  Unicode: 
ID: 636  |  LaTeX: \because              |  Unicode: 
ID:  87  |  LaTeX: \beta                 |  Unicode: 
ID: 639  |  LaTeX: \between              |  Unicode: 
ID: 972  |  LaTeX: \blacksquare          |  Unicode: 
ID: 741  |  LaTeX: \blacktriangleright   |  Unicode: 
ID: 881  |  LaTeX: \bot                  |  Unicode: 
ID: 611  |  LaTeX: \bowtie               |  Unicode: 
ID: 544  |  LaTeX: \boxdot               |  Unicode: 
ID: 550  |  LaTeX: \boxplus              |  Unicode: 
